PRODUCTO;MEDIDA;NIP;Disponible;Clasificación;NIP;NIP;NIP;NIP;NIP;NIP;NIP;NIP;NIP;NIP;CTRL
;;;;;dic-23;nov-23;oct-23;sep-23;ago-23;jul-23;jun-23;ene-23;dic-22;nov-22;DIF
MOVENTO OD;L;95,26;SI;Selectivos;95,26;97,36;93,58;79,99;80,04;72,21;68,43;65,48;59,36;63,76;-2,16%
MOVENTO PLUS;L;58,97;SI;Selectivos;58,97;59,22;;;;;;;;;-0,41%
NATIVO;L;22,95;SI;Selectivos;22,95;23;22,56;22,04;21,9;22;22,92;20,63;20,87;20,85;-0,19%
NITRAGIN;UNI;-   ;SI;NO;0;0;0;0;0;0;0;0;0;0;0,00%
OPTIMIZER;L;4,54;SI;Selectivos;4,54;4,55;4,51;4,51;4,53;4,45;4,43;3,7;3,72;3,71;-0,23%
PERCUTOR;KG;351,88;SI;Selectivos;351,88;352,62;348,28;340,71;343,16;341,45;341,45;276,11;275,04;276,07;-0,21%
PONCHO;L;-   ;SI;NO;0;0;0;0;0;0;0;0;0;0;0,00%
PREMAX;L;4,78;SI;Selectivos;4,78;4,77;3,27;4,77;4,6;4,6;4,6;4,6;4,86;4,66;0,08%
PRODIGIO;L;24,82;SI;Selectivos;24,82;24,81;24,81;24,66;24,7;24,99;24,94;22,24;21,81;21,83;0,06%
PUCARA;L;100,85;SI;Selectivos;100,85;100,85;99,13;99,24;99,61;99,15;97,98;104,96;104,99;104,87;0,00%
PUMA;L;24,56;SI;Selectivos;24,56;24,56;24,55;24,49;24,28;22,54;22,67;20,55;20,57;20,57;0,00%
REGENT ET;PCE;485,31;SI;Selectivos;485,31;502,56;508,91;533,08;498,23;542,84;519,04;463,1;489,9;472,28;-3,43%
REGENT FS;L;113,98;SI;Selectivos;113,98;113,98;113,98;113,98;113,98;113,98;113,98;112,42;112,42;112,42;0,00%
ROUNDUP;kregs;14.847,06;SI;Rup;14847,06;14852,56;14857,25;14800,91;14780,89;15701,9;16659,34;28605,41;30783,53;29867,9;-0,04%
SCENIC;L;30,96;SI;Selectivos;30,96;30,95;30,93;30,92;30,91;30,51;30,5;30,56;30,6;30,59;0,03%
SENCOREX;L;22,42;SI;Selectivos;22,42;22,77;20,52;20,15;20,09;20,35;20,43;20,18;20,44;20,17;-1,54%
SENCOREX DUO;KG;55,41;SI;Selectivos;55,41;57,61;58,94;60,86;61,68;57,12;61,61;50,03;49,94;49,86;-3,81%
SERENADE;L;12,09;SI;Selectivos;12,09;11,69;11,7;11,7;11,81;15,13;15,13;10,57;9,96;10,71;3,38%
SOLOMON;L;34,37;SI;Selectivos;34,37;35,61;35,35;35,46;36,14;36,82;37,06;36,97;38,6;38,5;-3,49%
SPHERE;L;64,85;SI;Selectivos;64,85;65,05;65,51;66,91;66,88;66,58;65,58;75,87;78,1;76,38;-0,30%
TELDOR;KG;146,81;SI;Selectivos;146,81;147,33;122,91;141,38;143,07;143,07;143,07;107,4;104,37;105,59;-0,35%
LICENCIAS FIELDVIEW PLUS;UNI;-   ;SI;NO;0;0;0;0;0;0;0;0;;;
